;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go Voyages ;;"Nous vous informons qu'aux fins des achats de produits et/ou de services effectués sur notre Site, nous serons obligés de communiquer vos données à caractère personnel aux (1) fournisseurs de ces produits et services ou aux tour-opérateurs qui organisent les forfaits voyage choisis, qui ont besoin d'utiliser vos données exclusivement pour transmettre des informations et se conformer aux obligations de livraison des produits ou de fourniture des services commandés et qui doivent se conformer aux autres dispositions légales et (2) aux autres sociétés du Groupe Odigeo dont fait partie l’Intermédiaire c'est-à-dire aux entités qui utilisent les marques eDreams, Go Voyages, Opodo, et Travellink qui utiliseront vos données à caractère personnel uniquement aux fins pour lesquelles elles sont recueillies et se conformeront aux autres dispositions légales.
Par ailleurs, en acceptant la présente politique de confidentialité, Vous acceptez également que vos données soient communiquées à des tiers avec lesquels nous sommes en relation contractuelle, aux fins d’exécuter les prestations réservées et dûment payées. Vous pouvez, néanmoins, annuler, à tout moment, facilement et gratuitement, votre autorisation de transfert de vos données à un tiers, à des fins commerciales, en utilisant le lien qui apparait dans chaque communication commerciale que Vous recevez.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;« Seul le personnel de notre société, les services chargés du contrôle (commissaire aux comptes notamment) et nos sous-traitants auront accès à vos données à caractère personnel, ainsi que les autres utilisateurs de l’Application, dans la limite des informations strictement nécessaires à la mise en œuvre des services de mise en relation proposés par celle-ci »  « Vos données à caractère personnel ne feront pas l’objet de cessions, locations ou échanges au bénéfice de tiers. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boursorama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;;PayPal ne vendra ni ne louera pas vos informations personnelles à des tiers à des fins publicitaires sans votre consentement explicite, et ne divulguera ces informations que dans des cas précis et aux fins décrites dans le présent règlement. Ceci inclut le transfert des informations à des états non membres de l'EEE. Plus particulièrement, vous acceptez et donnez pour instruction à PayPal de :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD;Rad s’engage a? ne pas divulguer a? des tiers les informations communique?es par le Client sur le Site. Celles-ci sont confidentielles.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Information préalable pour la communication des données personnelles à des tiers en cas de fusion;Collecte opt-in préalable à la fusion;Information préalable pour opt-out cas de fusion;Pas d’information préalable transmission en cas de fusion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente Privée;;;;"Il n'est aucunement précisé le cas de la communication des DP à des tiers en cas de fusion. 
Proposition: rajouter une licence 0: pas de mention. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;;Information préalable en cas de transfert des données dans le cadre d'une fusion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy;;;Pas d'information donnée en ce sens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allo Resto;;;“Si notre entreprise entre dans tout accord par lequel elle serait fusionnée, elle serait vendue, elle acquerrait ou exploiterait en commun sa présente clientèle avec une autre entité juridique ou commerciale, vos informations peuvent être divulguées ou transférées à nos nouveaux partenaires commerciaux, nouveaux propriétaires ou leurs conseillers. précédemment visés »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom;;;Dans l'éventualité où TomTom connaîtrait un changement de contrôle ou serait vendu ou transféré, ou dans l'éventualité où pratiquement tous ses avoirs seraient vendus ou transférés à un tiers, le site web, les produits et services de TomTom et toute information personnellement identifiable collectée par TomTom, feront partie des avoirs transférés.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;;;Pas d’information préalable ni accord en cas de revente d’Amazon. Cela semble totalement exclu “les informations [...] seraient bien entendu également transmises à l’acquéreur comme faisant partie des actifs transférés”.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;;;"""Pour des raisons stratégiques, commerciales ou autres, IBM peut décider d'acheter, de vendre, de fusionner ou de réorganiser des activités dans certains pays. Ce type de transaction peut entraîner la divulgation de données personnelles à des acheteurs potentiels ou confirmés, ou la communication de ces données par les vendeurs.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Microsoft
";;;"""Pour des raisons stratégiques, commerciales ou autres, IBM peut décider d'acheter, de vendre, de fusionner ou de réorganiser des activités dans certains pays. Ce type de transaction peut entraîner la divulgation de données personnelles à des acheteurs potentiels ou confirmés, ou la communication de ces données par les vendeurs.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung;;;« Nous ne communiquerons pas vos DP sauf [...] en cas de fusion, d’acquisition ou de réorganisation faisant intervenir un acquéreur de notre société ou de la totalité ou la quasi-totalité de nos actifs »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
